fight_id,event_id,event_title,event_date,event_location
635fbf57001897c7,32a3025d5db456ae,UFC - Ultimate Brazil,1998-10-16,"Sao Paulo, Brazil"
8b258bbb37f74a66,4a01dc8376736ef5,UFC 17: Redemption,1998-05-15,"Mobile, Alabama, USA"
4bce0ce561a65288,749685d24e2cac50,UFC 16: Battle in the Bayou,1998-03-13,"New Orleans, Louisiana, USA"
b80872821bc4f6ba,749685d24e2cac50,UFC 16: Battle in the Bayou,1998-03-13,"New Orleans, Louisiana, USA"
77bf1e37929b0d59,96eff1a628adcc7f,UFC 12: Judgement Day,1997-02-07,"Dothan, Alabama, USA"
565ecefd8a37ad7e,96eff1a628adcc7f,UFC 12: Judgement Day,1997-02-07,"Dothan, Alabama, USA"
2f449bd58b3d9a99,9b5b5a75523728f3,UFC - Ultimate Ultimate '96,1996-12-07,"Birmingham, Alabama, USA"
d93c8c77e1091a16,9b5b5a75523728f3,UFC - Ultimate Ultimate '96,1996-12-07,"Birmingham, Alabama, USA"
a5c90086fb65f58e,9b5b5a75523728f3,UFC - Ultimate Ultimate '96,1996-12-07,"Birmingham, Alabama, USA"
3badedeb2c5533f4,6ceff86fae4f6b3b,UFC 11: The Proving Ground,1996-09-20,"Augusta, Georgia, USA"
c413b0abc04358c3,6ceff86fae4f6b3b,UFC 11: The Proving Ground,1996-09-20,"Augusta, Georgia, USA"
f59b1215176636f6,aee8eecfc4bfb1e7,UFC 10: The Tournament,1996-07-12,"Birmingham, Alabama, USA"
5701dbbbfa4f8313,b63e800c18e011b5,UFC 8: David vs Goliath,1996-02-16,"San Juan, Puerto Rico"
7ffcc3a72e082ace,31bbd46d57dfbcb7,UFC - Ultimate Ultimate '95,1995-12-16,"Denver, Colorado, USA"
6449a1a9a69a830c,31bbd46d57dfbcb7,UFC - Ultimate Ultimate '95,1995-12-16,"Denver, Colorado, USA"
e4fe950846b51bdf,5af480a3b2e1726b,UFC 7: The Brawl in Buffalo,1995-09-08,"Buffalo, New York, USA"
4b334c9727eee450,5af480a3b2e1726b,UFC 7: The Brawl in Buffalo,1995-09-08,"Buffalo, New York, USA"
8e03db41687d9132,1c3f5e85b59ec710,UFC 6: Clash of the Titans,1995-07-14,"Casper, Wyoming, USA"
b297c3e938e1005e,1c3f5e85b59ec710,UFC 6: Clash of the Titans,1995-07-14,"Casper, Wyoming, USA"
b80e6a799c95d499,b60391da771deefe,UFC 4: Revenge of the Warriors,1994-12-16,"Tulsa, Oklahoma, USA"
a1db4c917777aa79,b60391da771deefe,UFC 4: Revenge of the Warriors,1994-12-16,"Tulsa, Oklahoma, USA"
