cards,fights,error_msg
http://ufcstats.com/event-details/32a3025d5db456ae,http://ufcstats.com/fight-details/635fbf57001897c7,No tables found
http://ufcstats.com/event-details/4a01dc8376736ef5,http://ufcstats.com/fight-details/8b258bbb37f74a66,No tables found
http://ufcstats.com/event-details/749685d24e2cac50,http://ufcstats.com/fight-details/4bce0ce561a65288,No tables found
http://ufcstats.com/event-details/749685d24e2cac50,http://ufcstats.com/fight-details/b80872821bc4f6ba,No tables found
http://ufcstats.com/event-details/96eff1a628adcc7f,http://ufcstats.com/fight-details/77bf1e37929b0d59,No tables found
http://ufcstats.com/event-details/96eff1a628adcc7f,http://ufcstats.com/fight-details/565ecefd8a37ad7e,No tables found
http://ufcstats.com/event-details/9b5b5a75523728f3,http://ufcstats.com/fight-details/2f449bd58b3d9a99,No tables found
http://ufcstats.com/event-details/9b5b5a75523728f3,http://ufcstats.com/fight-details/d93c8c77e1091a16,No tables found
http://ufcstats.com/event-details/9b5b5a75523728f3,http://ufcstats.com/fight-details/a5c90086fb65f58e,No tables found
http://ufcstats.com/event-details/6ceff86fae4f6b3b,http://ufcstats.com/fight-details/3badedeb2c5533f4,No tables found
http://ufcstats.com/event-details/6ceff86fae4f6b3b,http://ufcstats.com/fight-details/c413b0abc04358c3,No tables found
http://ufcstats.com/event-details/aee8eecfc4bfb1e7,http://ufcstats.com/fight-details/f59b1215176636f6,No tables found
http://ufcstats.com/event-details/b63e800c18e011b5,http://ufcstats.com/fight-details/5701dbbbfa4f8313,No tables found
http://ufcstats.com/event-details/31bbd46d57dfbcb7,http://ufcstats.com/fight-details/7ffcc3a72e082ace,No tables found
http://ufcstats.com/event-details/31bbd46d57dfbcb7,http://ufcstats.com/fight-details/6449a1a9a69a830c,No tables found
http://ufcstats.com/event-details/5af480a3b2e1726b,http://ufcstats.com/fight-details/e4fe950846b51bdf,No tables found
http://ufcstats.com/event-details/5af480a3b2e1726b,http://ufcstats.com/fight-details/4b334c9727eee450,No tables found
http://ufcstats.com/event-details/1c3f5e85b59ec710,http://ufcstats.com/fight-details/8e03db41687d9132,No tables found
http://ufcstats.com/event-details/1c3f5e85b59ec710,http://ufcstats.com/fight-details/b297c3e938e1005e,No tables found
http://ufcstats.com/event-details/b60391da771deefe,http://ufcstats.com/fight-details/b80e6a799c95d499,No tables found
http://ufcstats.com/event-details/b60391da771deefe,http://ufcstats.com/fight-details/a1db4c917777aa79,No tables found
